ID,Genre
839,classic hardstyle
840,modern hard rock
841,ocean
842,haryanvi pop
843,belgian pop
844,contemporary post-bop
845,vietnamese melodic rap
846,hip hop tuga
847,gospel
848,shiver pop
849,jazz trumpet
850,american metalcore
851,canadian electronic
852,water
853,barnmusik
854,northern soul
855,argentine telepop
856,deathcore
857,pakistani pop
858,visual kei
859,stoner metal
860,ukrainian pop
861,doo-wop
862,colombian hip hop
863,traprun
864,melodic dubstep
865,seattle hip hop
866,detroit rock
867,hindi indie
868,ambient worship
869,piseiro
870,ska mexicano
871,big beat
872,canadian country
873,pinoy trap
874,vapor soul
875,haryanvi hip hop
876,taiwan singer-songwriter
877,hardwave
878,australian indie folk
879,folklore argentino
880,partyschlager
881,rock alternativo brasileiro
882,diva house
883,london rap
884,argentine reggae
885,future garage
886,milan indie
887,intelligent dance music
888,drumless hip hop
889,nwobhm
890,charva
891,cool jazz
892,canadian pop punk
893,indonesian alternative rock
894,indonesian folk pop
895,melodic death metal
896,j-pop boy group
897,japanese electropop
898,australian surf rock
899,j-acoustic
900,progressive bluegrass
901,corridos clasicos
902,rif
903,turkce slow sarkilar
904,canadian contemporary country
905,chicago bop
906,middle earth
907,swedish synthpop
908,hawaiian hip hop
909,neoperreo
910,boston rock
911,classic mandopop
912,soul jazz
913,rave funk
914,seattle indie
915,vocal house
916,russelater
917,cubaton
918,vapor twitch
919,mainland chinese pop
920,trap soul
921,electronica argentina
922,tropicalia
923,manguebeat
924,rock uruguayo
925,rap espanol
926,korean city pop
927,jazz saxophone
928,moroccan pop
929,impressionism
930,nu gaze
931,chill drill
932,urdu hip hop
933,traditional blues
934,dinner jazz
935,funk 150 bpm
936,jamaican dancehall
937,brighton indie
938,spacegrunge
939,musica bajacaliforniana
940,suomi rock
941,comic metal
942,swedish idol pop
943,alte
944,japanese r&b
945,swedish alternative rock
946,psychedelic hip hop
947,japanese chillhop
948,roots worship
949,experimental r&b
950,uplifting trance
951,new age
952,p funk
953,scam rap
954,vallenato moderno
955,german indie
956,new age piano
957,float house
958,sky room
959,swedish indie pop
960,rock drums
961,sound
962,levenslied
963,nueva cancion
964,russian rock
965,bhajan
966,experimental hip hop
967,bolero mexicano
968,vancouver indie
969,arabic hip hop
970,new jersey indie
971,nashville hip hop
972,ska punk
973,rap cristiano
974,english indie rock
975,naija worship
976,uk americana
977,neo-singer-songwriter
978,modern j-rock
979,south african pop
980,lo-fi product
981,rap maroc
982,ambient folk
983,bass trap
984,classic kollywood
985,jazz piano
986,rebel blues
987,toronto indie
988,progressive trance
989,tierra caliente
990,muziek voor kinderen
991,dark pop
992,odia pop
993,trap colombiano
994,indie quebecois
995,ambient
996,funk viral
997,medieval rock
998,teen pop
999,folk brasileiro
1000,lo-fi
1001,manele
1002,instrumental rock
1003,trap baiano
1004,british folk
1005,rap baiano
1006,amapiano
1007,funk mandelao
1008,celtic
1009,tekk
1010,turkish alternative
1011,german hard rock
1012,canadian latin
1013,bases de freestyle
1014,minneapolis sound
1015,bubblegum dance
1016,funk das antigas
1017,jazz cover
1018,british indie rock
1019,alabama rap
1020,baltimore indie
1021,women's music
1022,old school rap francais
1023,antiviral pop
1024,shamanic
1025,basshall
1026,czech rock
1027,a cappella
1028,deep tropical house
1029,nasheed
1030,japanese soul
1031,german trap
1032,rkt
1033,brazilian ccm
1034,zhongguo feng
1035,crank wave
1036,st louis rap
1037,canzone d'autore
1038,trap catala
1039,athens indie
1040,australian house
1041,australian reggae fusion
1042,philly soul
1043,classic girl group
1044,boom bap
1045,r&b argentino
1046,bow pop
1047,texas latin rap
1048,synthwave
1049,chill phonk
1050,rap catala
1051,pinoy rock
1052,thai indie pop
1053,austropop
1054,azonto
1055,karadeniz turkuleri
1056,russian drain
1057,indie viet
1058,nu-metalcore
1059,swedish singer-songwriter
1060,hopebeat
1061,gymcore
1062,focus
1063,wonky
1064,swedish eurodance
1065,russian gangster rap
1066,taiwan indie
1067,synth funk
1068,rap mineiro
1069,rap algerien
1070,ye ye
1071,singaporean pop
1072,pinoy reggae
1073,art punk
1074,batidao romantico
1075,indiecoustica
1076,hypnagogic pop
1077,djent
1078,variete francaise
1079,classify
1080,indonesian worship
1081,greek drill
1082,g-house
1083,turkish trap pop
1084,lebanese pop
1085,tamaulipas rap
1086,polish alternative
1087,swedish drill
1088,harlem renaissance
1089,uk doom metal
1090,hard bop
1091,jazztronica
1092,portuguese pop
1093,classic soundtrack
1094,italian baroque
1095,westcoast flow
1096,rap chileno
1097,rap geek
1098,russian romanticism
1099,j-pop girl group
1100,new school turkce rap
1101,sleaze rock
1102,brazilian jazz
1103,electronic rock
1104,chill abstract hip hop
1105,jazz guitar
1106,rhythm game
1107,proto-metal
1108,prog metal
1109,bassline
1110,retro soul
1111,jazz fusion
1112,latin afrobeat
1113,classic colombian pop
1114,iskelma
1115,proto-hyperpop
1116,japanese classical
1117,electro swing
1118,rock nacional
1119,rap cearense
1120,rock gaucho
1121,pop folk
1122,spanish punk
1123,australian children's music
1124,rock kapak
1125,cyberpunk
1126,eau claire indie
1127,scottish singer-songwriter
1128,lo-fi vgm
1129,chicha
1130,french soundtrack
1131,deep german hip hop
1132,classic city pop
1133,salsa venezolana
1134,hardcore techno
1135,classic russian pop
1136,ottawa rap
1137,turkish deep house
1138,stomp pop
1139,nintendocore
1140,boom bap brasileiro
1141,italo disco
1142,ghanaian pop
1143,rap sardegna
1144,lata
1145,latin jazz
1146,swedish power metal
1147,anime rap
1148,hk-pop
1149,classic arab pop
1150,rap underground espanol
1151,italian alternative
1152,glitch hop
1153,forro de favela
1154,black metal
1155,filthstep
1156,spanish metal
1157,boston hip hop
1158,romanian trap
1159,cumbia santafesina
1160,german r&b
1161,thai rock
1162,anthem emo
1163,merengue
1164,rock brasiliense
1165,banda sinaloense
1166,french reggae
1167,trap carioca
1168,hands up
1169,german underground rap
1170,atlanta indie
1171,bitpop
1172,newcastle nsw indie
1173,christian pop
1174,bandung indie
1175,chill breakcore
1176,classic uk pop
1177,flamenco
1178,musica tlaxcalteca
1179,indie electropop
1180,deep disco house
1181,livetronica
1182,chicago punk
1183,aussie drill
1184,mahraganat
1185,pet calming
1186,classic russian rock
1187,pop violin
1188,nederpop
1189,indie punk
1190,reggaeton cristiano
1191,breakbeat
1192,lo-fi rap
1193,palm desert scene
1194,german punk
1195,afghan pop
1196,folk punk
1197,argentine alternative rock
1198,finnish metal
1199,boston folk
1200,nordic soundtrack
1201,cumbia del sureste
1202,australian alternative rock
1203,desi emo rap
1204,violao
1205,grave wave
1206,abstract hip hop
1207,israeli mediterranean
1208,german pop rock
1209,lovers rock
1210,barnsagor
