VST3i: Surge XT (Surge Synth Team) (2->6ch)

ID,Name,Value Current,Value Middle,Value Min,Value Max,Context Current,Context Middle,Context Min,Context Max
286,A Osc 3 Sub Mix,00.00,00.50,00.00,01.00,0.00 %,50.00 %,0.00 %,100.00 %
287,A Osc 3 Sync,00.00,00.50,00.00,01.00,0.00 semitones,30.00 semitones,0.00 semitones,60.00 semitones
288,A Osc 3 Unison Detune,00.10,00.50,00.00,01.00,10.00 cents,50.00 cents,0.00 cents,100.00 cents
289,A Osc 3 Unison Voices,00.00,00.50,00.00,01.00,1 voice,9 voices,1 voice,16 voices
290,A Osc 3 Keytrack,01.00,00.50,00.00,01.00,On,Off,Off,On
291,A Osc 3 Retrigger,00.00,00.50,00.00,01.00,Off,Off,Off,On
292,A Osc 1 Level,01.00,00.50,00.00,01.00,0.00 dB,-18.00 dB,-inf dB,0.00 dB
293,A Osc 1 Mute,00.00,00.50,00.00,01.00,Off,Off,Off,On
294,A Osc 1 Solo,00.00,00.50,00.00,01.00,Off,Off,Off,On
295,A Osc 1 Route,00.50,00.50,00.00,01.00,Both,Both,Filter 1,Filter 2
296,A Osc 2 Level,01.00,00.50,00.00,01.00,0.00 dB,-18.00 dB,-inf dB,0.00 dB
297,A Osc 2 Mute,01.00,00.50,00.00,01.00,On,Off,Off,On
298,A Osc 2 Solo,00.00,00.50,00.00,01.00,Off,Off,Off,On
299,A Osc 2 Route,00.50,00.50,00.00,01.00,Both,Both,Filter 1,Filter 2
300,A Osc 3 Level,01.00,00.50,00.00,01.00,0.00 dB,-18.00 dB,-inf dB,0.00 dB
301,A Osc 3 Mute,01.00,00.50,00.00,01.00,On,Off,Off,On
302,A Osc 3 Solo,00.00,00.50,00.00,01.00,Off,Off,Off,On
303,A Osc 3 Route,00.50,00.50,00.00,01.00,Both,Both,Filter 1,Filter 2
304,A Ring Modulation 1x2 Level,01.00,00.50,00.00,01.00,0.00 dB,-18.00 dB,-inf dB,0.00 dB
305,A Ring Modulation 1x2 Mute,01.00,00.50,00.00,01.00,On,Off,Off,On
306,A Ring Modulation 1x2 Solo,00.00,00.50,00.00,01.00,Off,Off,Off,On
307,A Ring Modulation 1x2 Route,00.50,00.50,00.00,01.00,Both,Both,Filter 1,Filter 2
308,A Ring Modulation 2x3 Level,01.00,00.50,00.00,01.00,0.00 dB,-18.00 dB,-inf dB,0.00 dB
309,A Ring Modulation 2x3 Mute,01.00,00.50,00.00,01.00,On,Off,Off,On
